Order ID,Product Category,Customer Region,Payment Method,Order Status,Customer Age Group,Shipping Method,Product Type,Discount Applied,Sales Channel,Order Date,Order Total ($),Quantity Ordered,Shipping Cost ($),Discount Value ($),Order Processing Time (hrs)
041296dc-b243-484e-9f79-8aba71ed7af7,Furniture,North,Cash,Pending,45-54,Standard,Chair,No,In-store,2024-11-05,296.38,5,27.59,38.09,22
a09890e5-bcce-4530-97ef-613f10d8a242,Furniture,West,Credit Card,Shipped,45-54,Express,Laptop,Yes,In-store,2024-11-01,70.44,10,12.41,31.15,11
c2ef4c82-9389-4e54-8b22-bf45d344171c,Clothing,East,Cash,Pending,18-24,Same Day,Food Item,Yes,Online,2024-11-04,242.66,8,16.34,22.77,33
59332a5c-23b0-452f-800e-85384e0a0e7e,Clothing,South,PayPal,Shipped,25-34,Express,T-shirt,Yes,In-store,2024-11-04,155.6,1,40.75,41.21,12
4dcedcdc-cb03-457e-b1ca-908a164619ae,Clothing,North,PayPal,Shipped,45-54,Express,T-shirt,Yes,In-store,2024-11-02,387.4,4,15.37,34.77,27
e0629ff1-2169-4d4f-b123-81514537a7c0,Furniture,South,Cash,Pending,45-54,Same Day,Smartphone,Yes,In-store,2024-11-04,172.3,6,34.01,11.56,22
f20e0eee-183d-4086-8c25-ab707ef7c9b6,Furniture,West,PayPal,Pending,45-54,Express,Chair,No,In-store,2024-11-02,413.55,3,18.3,6.59,30
d82f245d-d3a1-4dfe-ae0c-ffdeb597f3a8,Clothing,East,Credit Card,Shipped,25-34,Same Day,T-shirt,No,In-store,2024-11-02,85.81,1,16.91,16.92,47
aaa9bfd7-83b6-47e1-be55-364218054f0c,Furniture,North,Credit Card,Shipped,25-34,Standard,Chair,No,In-store,2024-11-03,320.26,9,46.71,10.22,15
d312bf65-feb1-47ab-83de-76cbb1c6a757,Clothing,East,Credit Card,Completed,35-44,Same Day,Chair,No,Online,2024-11-04,273.97,6,19.47,46.54,46
71019a28-93fa-4878-bcab-7a3f40103091,Clothing,East,PayPal,Pending,35-44,Standard,Smartphone,Yes,Online,2024-11-05,293.66,9,7.77,33.32,37
8de7a26b-4e3b-4ecd-afeb-7083342c5565,Toys,South,Credit Card,Completed,18-24,Express,T-shirt,No,Online,2024-11-05,268.63,9,21.63,25.26,26
2ea1f974-9775-4527-9be5-cb4f69da57c4,Furniture,West,Cash,Shipped,18-24,Standard,Smartphone,Yes,Online,2024-11-03,417.88,10,46.34,44.43,24
a7408436-0d00-4567-9d46-99168ae6f591,Food,West,Credit Card,Pending,18-24,Standard,Food Item,No,In-store,2024-11-04,315.39,5,28.08,13.42,3
321dbdf6-d642-405d-bb80-e49aa1ce808c,Electronics,East,PayPal,Pending,18-24,Express,Smartphone,No,In-store,2024-11-04,100.47,10,47.56,37.37,24
f9f803b7-295d-4052-9cc0-5fcb6a352ef3,Toys,East,PayPal,Shipped,35-44,Same Day,Chair,Yes,Online,2024-11-01,498.31,6,46.83,28.36,32
917ccd11-39a5-43d2-ad14-851c9c3198c6,Toys,West,Credit Card,Pending,55+,Express,Food Item,No,Online,2024-11-05,409.09,10,14.35,0.27,23
fcb91a75-be8a-425a-8b78-29964e9c00ce,Toys,South,Credit Card,Shipped,25-34,Same Day,Laptop,No,Online,2024-11-03,435.22,3,15.8,35.07,18
850ed21f-12c6-4a5e-ad97-525b522164db,Furniture,South,PayPal,Shipped,18-24,Same Day,Food Item,No,Online,2024-11-01,15.47,1,43.74,8.25,4
7cb40e8c-d00b-497a-8313-431263c46bc4,Clothing,South,Credit Card,Pending,25-34,Standard,Food Item,Yes,In-store,2024-11-05,42.56,10,9.54,30.35,38
fb5fd70d-c4f7-44b8-adb5-3f1cdc8c542c,Furniture,South,Credit Card,Shipped,45-54,Same Day,Food Item,No,Online,2024-11-04,421.29,7,30.11,14.09,26
b5a16776-6c90-4e84-9a3b-d56ae4f54a15,Clothing,South,Cash,Pending,18-24,Same Day,Chair,No,In-store,2024-11-02,340.09,1,36.89,28.29,44
d773ebf4-87c9-4e4d-a62a-f6c7ed6f5c55,Furniture,South,Credit Card,Shipped,35-44,Standard,Food Item,No,In-store,2024-11-05,246.66,9,31.51,29.42,1
